GEOM,field_1,field_2,field_3,field_4,ngw_id
"POINT (4395646.0162762 5430630.09734634)","1","МО г. Сочи, Лазаревский район, 139-й км трассы А- 147, между мкр. Головинка и мкр. Якорная Щель","43.77462","39.48676",1
"POINT (4440690.33503079 5405082.87489989)","2","МО г. Сочи, Адлерский район, участок дороги 03К- 452, между селами Калиновое Озеро и Илларионовка","43.60868","39.8914",2
"POINT (4450841.55939623 5376625.98316719)","3","МО г. Сочи, Адлерский район, с. Верхневеселое, ул. Блинова 33","43.4233","39.98259",3
"POINT (4433623.77375524 5401748.81423493)","4","""МО г. Сочи, Хостинский район, с. Прогресс, ул.
Юбилейная (на пересечении с пер. Ахунским)""","43.58699","39.82792",4
"POINT (4433083.87422489 5408833.40029101)","5","МО г. Сочи, Хостинский район, с. Измайловка, ул. Измайловская (в районе поворота на Змейковские водопады)","43.63307","39.82307",5
"POINT (4445096.36047639 5392725.67041715)","6","""МО г. Сочи, Хостинский район, северная окраина
с. Верхнениколаевс кое, ул. Псебайская""","43.52825","39.93098",6
"POINT (4425624.35514683 5402322.08258609)","7","МО г. Сочи, Хостинский район, ул. Яна Фабрициуса 66/6","43.59072","39.75606",7
"POINT (4438819.05439056 5392366.40142061)","8","МО г. Сочи, Хостинский район, жилой район Хоста, ул. Самшитовая (дорога к Национальному парку Тисо- самшитовая роща)","43.52591","39.87459",8
"POINT (4419168.93787573 5412882.41569164)","9","""МО г. Сочи, Лазаревский район, южная окраина
с. Сергей-Поле (участок дороги 03К-466 между селами Васильевка и Сергей-Поле)""","43.65939","39.69807",9
"POINT (4438206.7971912 5389501.96000846)","10","МО г. Сочи, Хостинский район, жилой район Хоста, набережная р. Хоста под эстакадой железной дороги","43.50725","39.86909",10
"POINT (4448841.14814668 5376521.75994122)","11","""МО г. Сочи, Адлерский район, мкр. Блиново,
ул. Лесная, 13""","43.42262","39.96462",11
"POINT (4425063.30491323 5408142.84488757)","12","""МО город-курорт Сочи, Центральный район,
пер. Вишневый, 85Б""","43.62858","39.75102",12
"POINT (4430759.52325713 5394446.97721027)","13","МО город-курорт Сочи, Хостинский район, 189 км автодороги А-147","43.53946","39.80219",13
"POINT (4443549.01955436 5388082.34814272)","14","""МО город-курорт Сочи, Адлерский район,
с. Верхнениколаевско е, ул. Заречная""","43.49800","39.91708",14
"POINT (4489354.76362598 5413200.93556332)","15","""МО город-курорт Сочи, Адлерский район, в 6,4 км к юго- востоку от с. Эсто- Садок, левобережный склон долины
р. Мзымта""","43.66146","40.32856",15
"POINT (4489359.21640561 5414001.13054965)","16","МО город-курорт Сочи, Адлерский район, курорт Красная Поляна, в 6,3 км к востоку-юго- востоку от с. Эсто- Садок, правый берег р. Мзымты","43.66666","40.32860",16
"POINT (4450310.56542515 5415554.01436637)","17","МО город-курорт Сочи, Адлерский район, верховья р. Кепша, в 10 км к северо-западу от с. Кепша ","43.67675","39.97782",17
"POINT (4438819.05439056 5392366.40142061)","18","""МО город-курорт Сочи, Хостинский район, жилой район Хоста,
ул. Самшитовая (дорога к Национальному парку Тисо- самшитовая роща)""","43.52591","39.87459",18
"POINT (4442254.37387644 5396028.83472379)","19","МО город-курорт Сочи, Адлерский район, юго-западная окраина с. Красная Воля, ул. Ульянова 1, участок дороги 03К- 465","43.54976","39.90545",19
"POINT (4419493.99078885 5415478.59574081)","20","МО город-курорт Сочи, Лазаревский район, западная часть с. Сергей-Поле, ул. Новошкольная","43.67626","39.70099",20
"POINT (4425714.52393437 5414518.21648472)","21","МО город-курорт Сочи, Хостинский район, с. Пластунка, ул. Джапаридзе к северу от Верхнепластунского кладбища","43.67002","39.75687",21
"POINT (4426559.4388695 5419997.1043742)","22","МО город-курорт Сочи, Хостинский район, с. Пластунка, ул. Джапаридзе (дорога на Ореховские водопады)","43.70561","39.76446",22
"POINT (4433135.08119065 5395311.59010731)","23","МО город-курорт Сочи, Хостинский район, мкр. Малый Ахун, СТ Журналист, СТ Труд, ул. Дорога на Большой Ахун","43.54509","39.82353",23
"POINT (4451120.97131812 5380889.40999929)","24","МО город-курорт Сочи, Адлерский район, центральная часть с. Черешня, ул. Владимировская","43.45111","39.98510",24
"POINT (4454262.40734831 5378388.75918573)","25","МО город-курорт Сочи, Адлерский район, южная часть с.Нижняя Шиловка, ул.Нагуляна, 27А","43.43480","40.01332",25
"POINT (4451889.0758046 5383496.56954404)","26","МО город-курорт Сочи, Адлерский район, с. Нижняя Шиловка, квартал «Социализм»","43.46811","39.99200",26
"POINT (4451068.65115745 5384235.90937093)","27","МО город-курорт Сочи, Адлерский район, ул. Мзымтинская в 550 м на северо-запад от с. Черешня","43.47293","39.98463",27
"POINT (4443182.77842965 5385015.19442586)","28","МО город-курорт Сочи, Адлерский район, с. Орел- Изумруд, ул. 10 лет Октября","43.47801","39.91379",28
"POINT (4428676.73558438 5398472.79843024)","29","""МО город-курорт Сочи, Хостинский район, автодорога А- 147, 4-й км """"Обхода Сочи"""" (перед Среднемацестинским виадуком)""","43.56567","39.78348",29
"POINT (4430135.02091378 5396273.04846309)","30","МО город-курорт Сочи, Хостинский район, мкр. Новая Мацеста, Мацестинский лесопарк, к югу от Среднемацестинског о виадука","43.55135","39.79658",30
"POINT (4434104.67395546 5393365.94074473)","31","МО город-курорт Сочи, Хостинский район, мкр. Малый Ахун, ул. Светлая к югу от СТ Восточное, СТ Юг","43.53242","39.83224",31
"POINT (4475489.92104768 5417382.71975775)","32","МО город-курорт Сочи, Адлерский район, северная часть пгт. Красная Поляна","43.68863","40.20401",32
"POINT (4431547.66525194 5404280.37703072)","33","""МО город-курорт Сочи, Хостинский район, с. Краевско- Армянское,
ул. Измайловская, 48 (ул. Саят-Нова)""","43.60346","39.80927",33
"POINT (4449967.7013935 5376225.95627905)","34","""МО город-курорт Сочи, Адлерский район, с.
Верхневеселое, ул. Миндальная в районе дома №31""","43.42069","39.97474",34
"POINT (4424500.02828982 5405224.31852472)","35","""МО город-курорт Сочи, Центральный район,
мкр. Макаренко, ул. Макаренко""","43.60960","39.74596",35
"POINT (4433115.04368231 5408707.28164515)","36","""МО город-курорт Сочи, Хостинский район, с. Измайловка, ул. Измайловская (в районе поворота на
Змейковские водопады)""","43.63225","39.82335",36
"POINT (4431394.04435465 5403428.76005252)","37","""МО город-курорт Сочи, Хостинский район, восточная часть с. Краевско- Армянское,
ул. Измайловская, в районе домовладений №36,34А""","43.59792","39.80789",37
"POINT (4428451.87021298 5404767.70938652)","38","Богушевка, ул. Фундучная","43.60663","39.78146",38
"POINT (4425675.5621126 5402332.84131299)","39", ул. Яна Фабрициуса 66/6,"43.59079","39.75652",39
"POINT (4431701.28614924 5404677.00520488)","40","Краевско- Армянское, ул. Измайловская в районе моста через р. Мацеста","43.60604","39.81065",40
"POINT (4449470.10326966 5387971.85774784)","41","Липники, ул. Липецкая","43.49728","39.97027",41
"POINT (4425275.92514065 5400169.05205442)","42",ул. Метелёва 4,"43.57671","39.75293",42
"POINT (4425645.50585008 5412225.4069726)","43",ул. Краснодонская,"43.65512","39.75625",43
"POINT (4438598.64179879 5389652.37487454)","44",ул. Краснополян ская 6,"43.50823","39.87261",44
"POINT (4440066.94588235 5387701.7756622)","45",ул. Сухумское шоссе 33,"43.49552","39.8858",45
