"date","lat","lon","depth","stations","ms","mb","i0","region"
"2015-07-16 03:47:47", "43.67", "40.35", "5", "12", " 0 ", "3.4", "2.5-3 ", "Западный Кавказ"
"2015-10-05 15:11:24", "44.26", "39.41", "10", "13", " 0 ", "3.7", "2-2.5 ", "Западный Кавказ"
"2016-02-07 00:50:06", "44.91", "39.54", "10", "14", " 0 ", "3.6", "2-3", "Западный Кавказ"
"2016-03-29 14:01:42", "43.63", "39.80", "5", "8", " 0 ", "3.0", "3", "Западный Кавказ"
"2016-04-07 01:54:18", "43.48", "39.20", "10", "15", " 0 ", "3.3", "", "Западный Кавказ"
"2016-04-08 04:00:37", "43.69", "39.67", "5", "7", " 0 ", "2.9", "", "Западный Кавказ"
"2016-04-08 09:35:25", "43.55", "39.30", "5", "15", " 0 ", "3.2", "2-2.5 ", "Западный Кавказ"
"2016-04-08 14:55:11", "43.56", "39.40", "5", "7", " 0 ", "2.9", "", "Западный Кавказ"
"2016-04-09 19:57:56", "43.46", "39.30", "10", "16", " 0 ", "3.1", "", "Западный Кавказ"
"2016-04-09 21:48:21", "43.45", "39.20", "10", "18", " 0 ", "3.3", "", "Западный Кавказ"
"2016-04-10 01:01:10", "43.33", "39.26", "10", "14", " 0 ", "3.3", "", "Западный Кавказ"
"2016-05-05 10:03:30", "43.63", "39.81", "5", "10", " 0 ", "2.8", "", "Западный Кавказ"
"2016-05-23 02:04:40", "43.47", "40.97", "5", "15", " 0 ", "3.7", "3-3.5 ", "Западный Кавказ"
"2016-08-19 05:01:35", "44.75", "40.67", "10", "9", " 0 ", "3.6", "2-2.5 ", "Западный Кавказ"
"2016-08-21 16:30:26", "43.40", "39.69", "5", "5", " 0 ", "3.3", "2-2.5 ", "Западный Кавказ"
"2016-08-27 18:00:47", "43.42", "40.87", "10", "26", " 0 ", "3.9", "2.5-3 ", "Западный Кавказ"
"2016-09-03 11:54:00", "43.41", "40.99", "10", "25", " 0 ", "4.1", "3-3.5 ", "Западный Кавказ"
"2016-09-09 17:11:44", "43.38", "40.93", "10", "13", " 0 ", "3.5", "", "Западный Кавказ"
"2016-10-16 20:41:43", "43.52", "40.97", "5", "13", " 0 ", "3.5", "2.5-3 ", "Западный Кавказ"
"2016-10-30 05:27:03", "44.37", "39.58", "10", "43", " 0 ", "4.9", "4", "Западный Кавказ"
"2017-02-24 22:28:34", "44.62", "39.40", "10", "17", " 0 ", "3.3", "", "Западный Кавказ"
"2017-03-14 13:36:13", "43.71", "40.35", "5", "9", " 0 ", "3.3", "2-2.5 ", "Западный Кавказ"
"2017-09-28 03:35:11", "43.98", "39.38", "10", "32", " 0 ", "4.5", "4", "Западный Кавказ"
"2018-04-26 08:56:00", "43.84", "39.25", "10", "14", " 0 ", "3.8", "2-3", "Западный Кавказ"
"2018-06-26 10:48:03", "43.79", "39.87", "10", "10", " 0 ", "3.3", "", "Западный Кавказ"
"2018-08-10 20:56:35", "43.46", "39.98", "10", "15", " 0 ", "3.7", "2-2.5 ", "Западный Кавказ"
"2018-11-02 11:06:46", "43.80", "39.64", "10", "9", " 0 ", "3.5", "", "Западный Кавказ"
"2019-12-01 06:00:13", "43.74", "40.92", "10", "10", " 0 ", "3.6", "2-2.5 ", "Западный Кавказ"
"2019-12-18 13:24:39", "43.91", "39.89", "10", "28", " 0 ", "4.0", "3   ", "Западный Кавказ"
"2020-06-20 03:50:51", "43.79", "39.84", "10", "15", " 0 ", "3.5", "", "Западный Кавказ"
"2020-10-29 19:02:13", "44.86", "40.72", "10", "17", " 0 ", "3.4", "", "Западный Кавказ"
"2022-03-02 19:55:59", "43.62", "39.48", "5", "14", " 0 ", "3.9", "4", "Западный Кавказ"
"2022-05-22 02:50:17", "43.52", "39.94", "5", "19", " 0 ", "3.7", "4", "Западный Кавказ"
"2022-05-30 14:28:42", "43.53", "39.75", "5", "15", " 0 ", "3.8", "4", "Западный Кавказ"
"2022-08-20 04:55:25", "43.56", "39.93", "5", "6", " 0 ", "3.3", "2-2.5 ", "Западный Кавказ"
"2022-10-29 09:59:14", "44.80", "39.83", "10", "11", " 0 ", "4.2", "3.5 ", "Западный Кавказ"
"2022-12-20 10:04:12", "43.55", "39.75", "5", "7", " 0 ", "3.5", "3-4", "Западный Кавказ"
"2023-03-23 16:55:23", "43.88", "39.31", "10", "9", " 0 ", "3.4", "2-3", "Западный Кавказ"
"2023-05-19 09:58:06", "43.92", "39.29", "5", "7", " 0 ", "3.1", "2-3", "Западный Кавказ"
"2023-10-05 20:52:07", "43.85", "40.11", "5", "10", " 0 ", "3.6", "3-3.5 ", "Западный Кавказ"
"2024-01-28 16:01:48", "44.04", "40.63", "5", "14", " 0 ", "3.7", "3-3.5 ", "Западный Кавказ"
"2024-04-10 22:31:17", "44.71", "39.98", "10", "19", " 0 ", "4.3", "3.5-4 ", "Западный Кавказ"
"2024-07-07 05:09:48", "43.73", "39.45", "5", "8", " 0 ", "3.6", "3-3.5 ", "Западный Кавказ"
"2024-07-22 07:02:41", "43.77", "39.40", "5", "15", " 0 ", "3.3", "2-2.5 ", "Западный Кавказ"
"2024-07-21 04:44:23", "43.77", "39.35", "5", "33", " 0 ", "3.7", "3-3.5 ", "Западный Кавказ"
"2024-08-27 10:21:48", "43.86", "39.72", "10", "10", " 0 ", "3.5", "-", "Западный Кавказ"
"2024-11-24 15:33:41", "43.58", "39.81", "5", "10", " 0 ", "3.3", "2-3", "Западный Кавказ"
"2025-01-11 01:47:58", "43.69", "39.78", "5", "14", " 0 ", "3.5", "2-3", "Западный Кавказ"
"2025-01-11 17:43:15", "43.68", "39.75", "5", "17", " 0 ", "3.9", "3", "Западный Кавказ"
"2025-02-13 12:12:02", "43.83", "39.70", "10", "28", " 0 ", "4.4", "4   ", "Западный Кавказ"
"2025-09-09 16:55:45", "44.25", "39.50", "10", "41", " 0 ", "4.6", "4.5 ", "Западный Кавказ"
"2025-10-02 14:02:12", "44.08", "39.23", "2", "8", " 0 ", "2.8", "3", "Западный Кавказ"
"2025-11-10 15:53:23", "43.98", "39.36", "5", "11", " 0 ", "3.3", "2-2.5 ", "Западный Кавказ"
"2025-11-10 16:05:44", "43.97", "39.35", "5", "7", " 0 ", "3.2", "2-2.5 ", "Западный Кавказ"
"2025-12-06 10:13:59", "43.97", "39.39", "10", "22", " 0 ", "4.1", "3-3.5 ", "Западный Кавказ"
